name,parent
ROOT,
CPSC 120,ROOT
ENGL 101,ROOT
MATH 150A,ROOT
MATH 270A,ROOT
PHYS 225,ROOT
CPSC 121,CPSC 120
CPSC 131,CPSC 121
CPSC 223,CPSC 131
CPSC 240,CPSC 131
CPSC 254,CPSC 131
CPSC 311,CPSC 131
CPSC 332,CPSC 131
CPSC 476,CPSC 223
CPSC 440,CPSC 240
CPSC 301,CPSC 254
CPSC 351,CPSC 254
CPSC 315,CPSC 311
CPSC 362,CPSC 311
CPSC 431,CPSC 332
CPSC 473,CPSC 332
CPSC 323,CPSC 301
CPSC 335,CPSC 301
CPSC 362,CPSC 301
CPSC 471,CPSC 351
CPSC 476,CPSC 351
CPSC 481,CPSC 335
CPSC 311,ENGL 101
MATH 150B,MATH 150A
MATH 338,MATH 150B
MATH 250A,MATH 150B
CPSC 335,MATH 338
CPSC 240,MATH 270A
MATH 270B,MATH 270A
CPSC 335,MATH 270B
PHYS 225L,PHYS 225
PHYS 226,PHYS 225
PHYS 226L,PHYS 226
